codigo,Descrição do Estado da Alma,Diagnóstico Emocional
AM12,"Você está em um estado de negação extrema do amor, muitas vezes guiado por dor profunda ou traumas passados que se converteram em ódio.",Rejeição ativa do afeto como forma de defesa.
AM11,"Você sente um calor emocional intenso, direcionado contra algo ou alguém, o que demonstra um bloqueio energético forte.",Impulsividade emocional voltada contra si ou outros.
AM10,"Mágoas antigas ainda sangram. O amor deseja se expressar, mas está preso a memórias não digeridas.",Vínculos mal resolvidos impactando sua capacidade de entrega.
AM09,"Você deseja amar, mas está frustrado com a falta de reciprocidade ou resultados.",Amor bloqueado pela decepção.
AM08,"Seu amor é real, mas se expressa com irritação pela impaciência de ver frutos rápidos.",Afeto impaciente com falhas dos outros.
AM07,"Você já não se importa tanto com o outro, e o interesse pelo bem do próximo diminuiu.",Indiferença afetiva progressiva.
AM06,"Você está em julgamento constante. O amor não flui, pois é condicionado à aprovação moral.",Afeto reprimido por padrões de julgamento.
AM05,"Você sente pouco. Nem rejeita, nem se entrega. Está em um campo neutro, de observação silenciosa.",Estado emocional indiferente ou entorpecido.
AM04,"Você começa a aprovar o outro sem exigir mudanças, reconhecendo o valor do que já é.",Aceitação parcial com presença amorosa.
AM03,"Você sente afeto natural e calor humano, mesmo sem profundidade de conexão.",Afeto leve e benéfico em desenvolvimento.
AM02,"Você sente prazer em doar amor, e isso começa a se tornar um estado frequente.",Amor ativo com energia elevada.
AM01,"Seu amor é puro, incondicional, e se expressa como canal de cura e luz.",Canal pleno de caridade e compaixão divina.
MA12,"Você se acostumou a agir com dureza repetitiva, como defesa ou imposição.",Rigidez emocional transformada em padrão de violência.
MA11,Sua raiva escapa sem freio. Há fúria inconsciente que toma conta.,Perda de controle emocional com explosões frequentes.
MA10,Suas palavras são armas. A linguagem se tornou um canal de hostilidade.,Expressão verbal agressiva como defesa.
MA09,"Você reprime sua agressividade, mas ela pulsa em olhares e gestos.",Agressividade sutil e contida em tensão interna.
MA08,Você resiste a ceder ou a suavizar. Sua energia luta por autoafirmação.,Defensividade contínua e exaustiva.
MA07,"Você segura a irritação, mas ela transparece em pequenas atitudes.",Irritação acumulada e não expressa.
MA06,Você tolera por obrigação. Sua energia está esgotada de insistir no controle.,Exaustão emocional com desgaste de vínculo.
MA05,"Você não ataca, nem acolhe. Seu campo é neutro, mas ainda não amoroso.","Zona de não-conflito, mas sem doçura."
MA04,Você pratica a paciência com coração aberto. Sua generosidade é ativa.,Paz em ação com empatia real.
MA03,"Sua doçura é viva. Ela toca, acolhe e inspira confiança.",Afeto constante com ternura ativa.
MA02,"Você vive em mansidão. É a paz firme, que não se curva à violência.","Mansidão consciente, com força interna."
MA01,"Sua serenidade é sagrada. Você irradia leveza, mesmo em ambientes caóticos.",Presença iluminadora que transmite cura.
AL12,"Você se encontra em profunda escuridão interior, com ausência quase total de energia vital.","Estado depressivo grave, perda de sentido e esperança."
AL11,"Há uma perda de fé no amanhã, e o desespero ocupa o centro das emoções.",Desorganização emocional por ausência de perspectiva.
AL10,"Você sente aperto no peito e desconforto interior, com emoções reprimidas ou confusas.",Sufocamento emocional e tensão interna persistente.
AL09,"Tristeza constante acompanha seus dias, com leve sensação de vazio.",Campo emocional permeado por perdas não integradas.
AL08,Você sente que tudo está pesado. Os desafios parecem maiores que as forças.,Fadiga emocional e mental constante.
AL07,Há uma névoa emocional em você. As emoções estão embotadas ou distantes.,"Estado emocional suspenso, introspectivo e reflexivo."
AL06,Você não sente grandes dores nem alegrias. Está em um campo neutro ou apático.,Estabilidade emocional sem brilho ou paixão.
AL05,"Você reencontra momentos de serenidade e leveza, mesmo que esporádicos.",Paz emocional moderada e retomada do equilíbrio interno.
AL04,Você sente contentamento pelo simples. Começa a se nutrir com o presente.,Alegria sutil e estável.
AL03,"Você vibra com a vida, sente leveza e vê beleza no cotidiano.",Alegria ativa e contagiante.
AL02,"Você vive em estado de felicidade natural, mesmo com desafios.",Alegria consistente com raízes profundas.
AL01,Seu estado é de êxtase espiritual e emocional. Amor e gratidão se fundem em você.,Estado de graça e expansão da consciência.
BE12,"Há uma frieza estratégica, onde a crueldade é aplicada de forma consciente e racional.","Ausência intencional de compaixão, com cálculo egoico."
BE11,"O prazer em causar dano, mesmo sutil, manifesta a ausência do amor ativo.",Deleite inconsciente ou velado no sofrimento alheio.
BE10,"Há intenção sutil de provocar incômodos, ainda que mascarada de leveza.","Malícia leve, quase imperceptível aos olhos comuns."
BE09,"O ressentimento se mistura à doçura, bloqueando a gentileza plena.",Mágoas antigas que impedem a entrega emocional.
BE08,Você se tornou rígido. O amor não alcança o outro por barreiras emocionais.,Insensibilidade em nome da proteção ou moral.
BE07,Você se protege evitando se envolver. Sua empatia se retraiu.,Fechamento emocional por medo de se doar.
BE06,Suas emoções estão adormecidas. Há distanciamento interno e afetivo.,Frieza como padrão de autoproteção.
BE05,"Você se encontra num estado de equilíbrio afetivo, mas ainda sem doação ativa.","Presença neutra, sem expressão amorosa ou hostilidade."
BE04,"Sua gentileza é natural. Ela nasce sem esforço, como expressão da alma.",Bondade espontânea e sincera.
BE03,Você se move por compaixão. Sente e acolhe a dor do outro como sua.,Amor ativo em forma de empatia profunda.
BE02,"Sua bondade é pura, sem segunda intenção. Você é presença curadora.",Amor incondicional em ação compassiva.
BE01,Você se tornou canal direto da graça divina. Sua alma oferta sem esforço.,Benignidade como natureza espiritual manifesta.
BO12,Você opera a partir de princípios que negam o bem e celebram o dano ao outro.,Desconexão total com a ética do amor.
BO11,"Você expressa atitudes perversas, mesmo que mascaradas de racionalidade ou justiça.","Malícia racionalizada, distorção do bem."
BO10,"Você usa a malícia para obter vantagem, mesmo às custas da integridade do outro.",Predominância do interesse próprio acima do bem coletivo.
BO09,Você sente prazer ou indiferença ao causar dor. Há gozo no desequilíbrio alheio.,"Sadismo psicológico ou emocional, mesmo que inconsciente."
BO08,Você se tornou insensível à dor dos outros. A crueldade virou um recurso de proteção ou poder.,Blindagem emocional transformada em dureza.
BO07,"Você age por manipulação. Usa o outro como meio, não como fim.",Relacionamentos com intenção oculta.
BO06,Você se mostra indiferente às dores que presencia. O sofrimento do outro é irrelevante.,Egoísmo travestido de objetividade.
BO05,"Você cuida de si e dos seus, mas ainda com foco limitado ao próprio interesse.",Abertura parcial ao bem coletivo.
BO04,"Você age com base na ética, mas ainda sem profunda empatia.",Neutralidade moral com boas intenções.
BO03,Você cultiva a gentileza como forma de presença e intenção. Sua bondade é visível.,Presença gentil como escolha de vida.
BO02,"Você sente a dor do outro como sua, e age para aliviar sofrimentos.",Empatia profunda com ação compassiva.
BO01,Sua bondade é luz. Você se tornou canal de altruísmo puro e inspirador.,Transcendência do ego a serviço do bem comum.
CA12,Você vive imerso na satisfação dos prazeres sexuais sem limites ou consciência.,Entregue ao instinto como fuga da alma.
CA11,"Você usa a energia sexual para manipular, seduzir ou subjugar.",Desvio da sexualidade como ferramenta de dominação ou fuga.
CA10,"A compulsão sexual domina seus pensamentos, escolhas e relacionamentos.",Dependência emocional e psíquica do prazer carnal.
CA09,"Você tem relações frequentes, mas sem compromisso, zelo ou propósito profundo.",Sexualidade desvinculada de afeto e espiritualidade.
CA08,"Você busca prazeres com moderação, mas ainda guiado pelo hedonismo.",Sensualidade ainda como principal fonte de sentido e alegria.
CA07,"Você se permite prazeres sexuais, mas já com consciência e respeito mútuo.","Sexualidade com lucidez, ainda em fase de integração."
CA06,Você permite o prazer sem excessos. Sabe reconhecer quando parar.,Permissividade leve com autoconsciência.
CA05,"Você se encontra em um ponto de equilíbrio sexual. Não há conflito, mas também não há sublimação.",Neutralidade emocional na vivência da sexualidade.
CA04,Você escolhe conter-se com clareza e disciplina. Sua sexualidade é orientada por propósito.,Domínio consciente dos instintos em nome de algo maior.
CA03,"Você vive a sexualidade com moderação e dignidade. Há harmonia entre corpo, alma e espírito.",Integração dos desejos à ética e ao afeto.
