Código do Arquétipo;Composição de Zonas;Zona Predominante;Chave de Correspondência;R;Y;B;Nome Técnico;Nome Simbólico;Parágrafo Diagnóstico (Técnico);Parágrafo Reflexivo (Simbólico);Mensagem-Chave;Gatilho Tátil;Gatilho Olfato;Gatilho Audição;Gatilho Visão;Gatilho Paladar
A001;10?? – 2?? – 0??;??;R10Y2B0;10;2;0;Perfil de Desregulação Emocional Crítica;O Coração Estilhaçado;Este perfil representa indivíduos em estado de desregulação emocional intensa. Há forte predominância de padrões de autossabotagem, impulsividade e reatividade relacional. Relações são marcadas por instabilidade e dificuldade de contenção. Indica risco elevado de ciclos repetitivos de sofrimento.;A alma deste arquétipo parece carregar os cacos de tantas guerras não resolvidas. Cada gesto é uma tentativa de proteção, cada silêncio é um grito sufocado. Mas até os corações estilhaçados podem encontrar um novo ritmo no abraço da rendição.;Seu recomeço começa onde você para de se ferir.;Autotoque nos ombros com respiração consciente;Lavanda ou camomila (calmante);Música ambiente com sons da natureza à noite;Tons escuros azul e violeta suave;Infusão morna de camomila com mel
A002;8?? – 3?? – 1??;??;R8Y3B1;8;3;1;Perfil de Vulnerabilidade Emocional Latente;O Guardião Ferido;Perfil marcado por traços emocionais instáveis, onde o medo de falhar ou ser rejeitado domina as atitudes e decisões. A presença de zonas de transição indica desejo de mudança, mas há apego ao padrão de defesa e evitação do afeto pleno.;Há em você um guardião exausto, que defende com ferocidade as ruínas do que já não lhe serve. Seu escudo se tornou prisão, e sua coragem foi moldada na dor. Mas há em seu peito um novo caminho chamando pela paz.;Coragem não é resistir — é permitir a cura.;Toque leve sobre o coração com respiração lenta;Cedro (segurança interior);Violoncelo ou instrumentos graves e suaves;Imagens de raízes e árvores antigas;Chá de mulungu ou folha doce calmante
A003;7?? – 5?? – 0??;??;R7Y5B0;7;5;0;Perfil de Conflito Interno Ativo;O Andarilho da Tempestade;Representa indivíduos em constante tensão interna. Os desejos de transformação convivem com pulsões destrutivas ou sabotadoras. Há intensidade emocional, mas sem direcionamento claro, o que gera desgaste e frustração.;Você caminha entre relâmpagos emocionais e o desejo de ver o céu azul. A alma sente — e sente muito. Mas mesmo na tempestade há bússolas. E toda dor que se reconhece pode se tornar ponte.;Reconhecer a confusão já é um tipo de ordem.;Banho morno com toque circular no abdômen;Manjerona (pacificação interna);Sons de chuva e trovão ritmado;Céu cinzento rompido por faixas de luz;Chocolate amargo com pausa meditativa
A004;6?? – 4?? – 2??;??;R6Y4B2;6;4;2;Perfil de Reatividade Emocional Intermitente;O Guerreiro em Trégua;Indica uma alma que alterna entre enfrentamento emocional e tentativa de restauração. As zonas de transição mostram potencial de cura ainda em desenvolvimento, mas as cicatrizes antigas ditam o ritmo da entrega.;Você aprendeu a guerrear antes de aprender a se acolher. Suas espadas agora estão embainhadas, mas o corpo ainda guarda os reflexos. Está tudo bem descansar. A luta também termina em silêncio.;Você não precisa se defender o tempo todo.;Autoabraço com pressão firme e longa;Bálsamo ou breu-branco (cura ancestral);Mantras lentos ou canto gregoriano;Imagem de montanha ao entardecer;Raiz de gengibre suave ou cúrcuma com leite
A005;5?? – 5?? – 2??;??;R5Y5B2;5;5;2;Perfil de Reestruturação Emocional Ativa;O Reequilibrador;Indivíduo em processo ativo de reorganização emocional. A zona de transição prevalece, mostrando movimentação interna, ressignificação de padrões antigos e construção gradual de estabilidade. Ainda há conflitos, mas a consciência cresce.;Você é como o rio que aprendeu a lidar com as pedras sem parar de fluir. A alma está aprendendo a se mover com menos luta e mais escuta. Cada passo incerto é também um passo mais livre.;Transição não é fraqueza — é construção em movimento.;Toque alternado nas têmporas com os olhos fechados;Alecrim (clareza e foco);Som de ondas suaves + piano leve;Texturas orgânicas e madeira clara;Maçã ou pera em temperatura ambiente
A006;3?? – 7?? – 2??;??;R3Y7B2;3;7;2;Perfil de Maturação Emocional Emergente;O Coração em Germinação;Perfil emocional de crescimento. Predominância de zona de transição com forte impulso à evolução. O indivíduo se percebe em um ciclo de desconstrução de velhos hábitos e experimentação de novos modos de sentir e agir.;Sua alma começa a brotar. Ainda há a lembrança das tempestades, mas as raízes se firmam. Cada dúvida que dói hoje será adubo para o seu florescer de amanhã.;O que ainda é pequeno está apenas criando força para durar.;Toque com as pontas dos dedos no solo ou parede;Erva-doce ou flor de laranjeira;Cantos de pássaros ao amanhecer;Imagem de botão de flor prestes a abrir;Frutas frescas ou brotos suaves
A007;1?? – 9?? – 2??;??;R1Y9B2;1;9;2;Perfil de Consciência Emocional em Transição Elevada;O Viajante do Limiar;Este arquétipo representa alguém prestes a atravessar um portal emocional profundo. O passado degradante foi quase completamente superado, e a alma encontra-se agora em maturação. A transformação está em curso e depende de pequenos ajustes de crença e prática.;Você está diante da soleira de si mesmo. Já não se contenta com o que lhe feriu, e deseja o que cura. O medo tenta prender seus pés, mas sua alma já está voando antes mesmo do corpo decidir saltar.;Você já não cabe na versão antiga de si mesmo.;Mãos espalmadas sobre o peito e abdômen alternadamente;Jasmim ou verbena;Sons de portais (tigelas, sinos, harpas);Caminhos estreitos com luz ao fundo;Uvas ou melão com atenção ao frescor
A008;4?? – 3?? – 5??;??;R4Y3B5;4;3;5;Perfil de Resiliência com Expansão Virtuosa;O Semeador Silencioso;Este perfil representa um equilíbrio emocional consolidado. Há domínio sobre os gatilhos, clareza de valores e capacidade de regeneração emocional. As zonas sombrias ainda existem, mas são administradas com sabedoria prática.;Você cultiva silêncio e colhe presença. Seu tempo de plantar superou a pressa de colher. O que você oferece ao mundo agora não é mais reação — é semente escolhida com consciência.;Você não precisa provar nada quando já está inteiro.;Toque consciente em folhas ou sementes vivas;Capim-limão ou pinho suave;Som de campo com brisa e vida leve;Terreno fértil e mãos que cuidam;Sementes mastigadas com lentidão
A009;2?? – 2?? – 8??;??;R2Y2B8;2;2;8;Perfil de Coerência Emocional em Alta Expressão;O Pacificador Interno;Este perfil demonstra domínio emocional elevado. Os conflitos internos são abordados com compaixão, e há uma integração real entre mente, corpo e espírito. Há influência positiva no ambiente, capacidade de escuta e liderança compassiva.;Sua alma é um rio calmo que nutre as margens. Você não busca vencer as batalhas dos outros, mas silenciar as guerras internas. Onde você chega, a tensão se curva e o espaço respira.;Você é paz antes de falar em paz.;Autoimposição de mãos sobre o centro do peito;Sândalo ou mirra em baixa concentração;Silêncio com respiração — ou sopro leve constante;Águas tranquilas e campos vastos;Água com gotas de limão ou pepino
A010;1?? – 1?? – 10??;??;R1Y1B10;1;1;10;Perfil de Consagração Emocional com Plenitude Interior;O Guardião da Harmonia;Indivíduo com profunda estabilidade interna, sabedoria emocional aplicada e compromisso com o bem maior. Este perfil é raro, e representa alguém que já transcendeu as reações impulsivas, conduzindo a própria vida com firmeza e doçura.;Sua alma não apenas encontrou paz — ela se tornou paz. Seu silêncio não pesa, sua presença não se impõe. Você é ponte entre o caos e a luz, e isso é algo que ninguém pode tirar de você.;Você se tornou o lugar onde os outros gostariam de morar.;Toque gentil no rosto com olhos fechados;Olíbano ou flor branca fresca;Silêncio sagrado com intenção;Ambientes minimalistas, naturais e limpos;Água pura em jejum com intenção
