        table_name         |        column_name        |          data_type          | is_nullable
---------------------------+---------------------------+-----------------------------+-------------
 affiliate_clicks          | id                        | text                        | NO
 affiliate_clicks          | affiliate_id              | text                        | NO
 affiliate_clicks          | ip                        | text                        | YES
 affiliate_clicks          | user_agent                | text                        | YES
 affiliate_clicks          | created_at                | timestamp without time zone | YES
 affiliate_links           | id                        | uuid                        | NO
 affiliate_links           | code                      | text                        | NO
 affiliate_links           | url                       | text                        | NO
 affiliate_links           | vendor_id                 | text                        | NO
 affiliate_links           | affiliate_id              | text                        | YES
 affiliate_links           | pct_aff                   | numeric                     | NO
 affiliate_links           | pct_vendor                | numeric                     | NO
 affiliate_links           | pct_supervisor            | numeric                     | NO
 affiliate_links           | active                    | boolean                     | NO
 affiliate_links           | clicks                    | integer                     | NO
 affiliate_links           | sales                     | integer                     | NO
 affiliate_links           | created_at                | timestamp with time zone    | NO
 affiliate_links           | token                     | text                        | YES
 affiliate_links           | invite_email              | text                        | YES
 affiliate_links           | status                    | text                        | YES
 affiliate_links           | accepted_at               | timestamp with time zone    | YES
 affiliate_orders          | id                        | text                        | NO
 affiliate_orders          | affiliate_id              | text                        | NO
 affiliate_orders          | order_id                  | text                        | YES
 affiliate_orders          | asaas_payment_id          | text                        | YES
 affiliate_orders          | amount                    | real                        | NO
 affiliate_orders          | commission_type           | text                        | NO
 affiliate_orders          | commission_value          | real                        | NO
 affiliate_orders          | platform_share            | real                        | NO
 affiliate_orders          | affiliate_share           | real                        | NO
 affiliate_orders          | status                    | text                        | NO
 affiliate_orders          | paid_at                   | timestamp without time zone | YES
 affiliate_orders          | refunded_at               | timestamp without time zone | YES
 affiliate_orders          | created_at                | timestamp without time zone | YES
 affiliate_orders          | updated_at                | timestamp without time zone | YES
 affiliate_password_resets | id                        | text                        | NO
 affiliate_password_resets | affiliate_id              | text                        | NO
 affiliate_password_resets | token                     | text                        | NO
 affiliate_password_resets | expires_at                | timestamp without time zone | NO
 affiliate_password_resets | used                      | boolean                     | NO
 affiliate_password_resets | created_at                | timestamp without time zone | YES
 affiliates                | id                        | text                        | NO
 affiliates                | name                      | text                        | NO
 affiliates                | email                     | text                        | NO
 affiliates                | cpf_cnpj                  | text                        | NO
 affiliates                | phone                     | text                        | NO
 affiliates                | address                   | text                        | NO
 affiliates                | address_number            | text                        | NO
 affiliates                | district                  | text                        | NO
 affiliates                | city                      | text                        | NO
 affiliates                | state                     | text                        | NO
 affiliates                | postal_code               | text                        | NO
 affiliates                | complement                | text                        | YES
 affiliates                | commission_type           | text                        | NO
 affiliates                | commission_value          | real                        | NO
 affiliates                | days_to_release           | integer                     | NO
 affiliates                | wallet_id                 | text                        | YES
 affiliates                | affiliate_code            | text                        | YES
 affiliates                | status                    | text                        | NO
 affiliates                | password_hash             | text                        | YES
 affiliates                | created_at                | timestamp without time zone | YES
 affiliates                | updated_at                | timestamp without time zone | YES
 affiliates                | commission_percent        | numeric                     | NO
 affiliates                | link                      | character varying           | NO
 affiliates                | terms                     | boolean                     | NO
 affiliates                | reset_token               | text                        | YES
 affiliates                | reset_expires_at          | timestamp with time zone    | YES
 affiliates                | terms_version             | text                        | YES
 affiliates                | terms_accepted_at         | timestamp with time zone    | YES
 affiliates                | terms_ip                  | text                        | YES
 affiliates                | terms_ua                  | text                        | YES
 affiliates                | privacy_version           | text                        | YES
 affiliates                | privacy_accepted_at       | timestamp with time zone    | YES
 affiliates                | asaas_account_id          | text                        | YES
 affiliates                | asaas_wallet_id           | text                        | YES
 affiliates                | asaas_api_key             | text                        | YES
 affiliates                | asaas_status_general      | text                        | YES
 affiliates                | asaas_status_bank         | text                        | YES
 affiliates                | link_enabled              | boolean                     | NO
 affiliates                | payout_method             | text                        | YES
 affiliates                | pix_key_type              | text                        | YES
 affiliates                | pix_key_value             | text                        | YES
 affiliates                | bank_holder_name          | text                        | YES
 affiliates                | bank_cpf_cnpj             | text                        | YES
 affiliates                | bank_number               | text                        | YES
 affiliates                | bank_agency               | text                        | YES
 affiliates                | bank_account              | text                        | YES
 affiliates                | bank_account_digit        | text                        | YES
 affiliates                | bank_account_type         | text                        | YES
 affiliates                | payout_status             | text                        | YES
 affiliates                | person_type               | text                        | YES
 affiliates                | birth_date                | date                        | YES
 affiliates                | company_name              | text                        | YES
 affiliates                | responsible_name          | text                        | YES
 affiliates                | responsible_cpf_cnpj      | text                        | YES
 affiliates                | responsible_birth_date    | date                        | YES
