codigo,fruto,nivel_emocional,descricao_estado_da_alma,diagnostico_emocional,exemplo_vida_familiar,exemplo_vida_social,exemplo_vida_profissional,exercicio_de_elevacao
AM12,Ódio,"🔥 Ódio (você sente hostilidade, rejeição profunda ou desejo de afastamento radical)","Você está em um estado de negação extrema do amor, muitas vezes guiado por dor profunda ou traumas passados que se converteram em ódio.",Rejeição ativa do afeto como forma de defesa.,"Conflitos constantes, sensação de rejeição ou agressividade verbal com familiares.","Postura hostil ou intolerante, dificuldade em aceitar diferenças.","Competitividade excessiva, sabotagem de relações no ambiente de trabalho.",Praticar a escrita de perdão mesmo sem enviar; iniciar uma oração por alguém que gerou dor.
AM11,Raiva,😡 Raiva (você sente impulsos agressivos ou intolerância diante de certas pessoas),"Você sente um calor emocional intenso, direcionado contra algo ou alguém, o que demonstra um bloqueio energético forte.",Impulsividade emocional voltada contra si ou outros.,Explosões de raiva em discussões banais.,Irritabilidade e impaciência com opiniões diferentes.,"Dificuldade de colaboração, reatividade a críticas.",Respiração diafragmática 4-4-4 durante 7 minutos ao sentir o impulso de raiva.
AM10,Ressentimento,😔 Ressentimento (você guarda mágoas antigas que ainda influenciam suas relações),"Mágoas antigas ainda sangram. O amor deseja se expressar, mas está preso a memórias não digeridas.",Vínculos mal resolvidos impactando sua capacidade de entrega.,Ressentimentos recorrentes sobre o passado familiar.,Dificuldade em confiar nas pessoas.,Reações defensivas a superiores ou colegas.,Escrever cartas simbólicas de reconciliação e queima consciente.
AM09,Frustração,😤 Frustração (você sente decepção por não receber o amor ou atenção que espera),"Você deseja amar, mas está frustrado com a falta de reciprocidade ou resultados.",Amor bloqueado pela decepção.,Frustração por se sentir não reconhecido em casa.,Expectativas exageradas nos vínculos afetivos.,Sentimento de não ser valorizado pelo esforço.,Meditação com foco em doação sem expectativa.
AM08,Irritação,😠 Irritação (você se incomoda facilmente com atitudes ou comportamentos alheios),"Seu amor é real, mas se expressa com irritação pela impaciência de ver frutos rápidos.",Afeto impaciente com falhas dos outros.,Impaciência com erros recorrentes dos filhos ou cônjuges.,Falta de tolerância com os tempos alheios.,Resistência a trabalhar em equipe por lentidão dos demais.,Prática da pausa consciente: esperar 7 segundos antes de reagir verbalmente.
AM07,Desinteresse,"😶 Desinteresse (você se desconecta com facilidade, evita se envolver afetivamente)","Você já não se importa tanto com o outro, e o interesse pelo bem do próximo diminuiu.",Indiferença afetiva progressiva.,Distanciamento emocional de pessoas próximas.,Pouca empatia com problemas dos amigos.,Postura apática ou desinteressada com o ambiente.,"Escolher uma pessoa por semana para ajudar intencionalmente, sem ser solicitado."
AM06,Desaprovação,"🚫 Desaprovação (você tende a julgar, rejeitar ou se fechar diante de diferenças)","Você está em julgamento constante. O amor não flui, pois é condicionado à aprovação moral.",Afeto reprimido por padrões de julgamento.,Rigidez emocional com quem pensa diferente.,Tendência a criticar atitudes alheias.,Pouca flexibilidade com estilos de trabalho distintos.,Exercício da empatia inversa: imaginar o ponto de vista do outro antes de reagir.
AM05,Indiferença,😐 Indiferença (você sente-se emocionalmente distante ou neutro em relação aos outros),"Você sente pouco. Nem rejeita, nem se entrega. Está em um campo neutro, de observação silenciosa.",Estado emocional indiferente ou entorpecido.,"Pouca expressão de carinho, neutralidade afetiva.","Presença discreta, sem envolvimento profundo.","Cumprimento mecânico de tarefas, sem entusiasmo.",Aromaterapia ou arte terapia com tintas — estímulo ao sensível.
AM04,Aprovação,"👍 Aprovação (você aceita o outro como ele é, mesmo que não haja afinidade profunda)","Você começa a aprovar o outro sem exigir mudanças, reconhecendo o valor do que já é.",Aceitação parcial com presença amorosa.,Diálogos mais tolerantes com entes queridos.,Escuta ativa e respeito mútuo.,Reconhecimento das qualidades dos colegas.,Prática de elogios sinceros diários.
AM03,Simpatia,"😊 Simpatia (você tem boa vontade, leveza e afeto espontâneo pelos outros)","Você sente afeto natural e calor humano, mesmo sem profundidade de conexão.",Afeto leve e benéfico em desenvolvimento.,Demonstrar simpatia nas interações simples.,Gentileza espontânea com estranhos.,Boa vontade e disposição com colegas.,Agradecimentos conscientes e gestos simples de gentileza.
AM02,Paixão,"🔥 Paixão (você sente amor intenso, mas ainda ligado ao desejo e à necessidade de reciprocidade)","Você sente prazer em doar amor, e isso começa a se tornar um estado frequente.",Amor ativo com energia elevada.,Dedicação presente aos que ama.,Ações compassivas e solidárias.,Ajuda generosa e acolhimento de colegas.,Prática semanal de serviço voluntário ou gesto anônimo de bondade.
AM01,Amor,"💗 Amor (você ama com liberdade, compaixão e presença, sem expectativa de retorno)","Seu amor é puro, incondicional, e se expressa como canal de cura e luz.",Canal pleno de caridade e compaixão divina.,Presença amorosa que pacifica o ambiente.,Inspiração natural para os que o rodeiam.,Influência positiva e transformadora no grupo.,Meditação compassiva + leitura espiritual + doação voluntária mensal.
MA12,Crueldade Sistemática,🔥 Crueldade Sistemática (você fere ou domina com frieza — e já não vê isso como errado),"Você se acostumou a agir com dureza repetitiva, como defesa ou imposição.",Rigidez emocional transformada em padrão de violência.,Postura dominante com palavras e atitudes frias.,Comportamentos opressores em grupos.,Ambiente controlado pela intimidação.,Observar o tom de voz em interações e praticar pausas antes de reagir.
